alert_key,sar_flag,set_name
171189,0,train
171202,0,train
171599,0,train
171737,0,train
171142,0,train
171178,0,train
171377,0,train
171207,0,train
171197,0,train
171180,0,train
171369,0,train
171751,0,train
171586,0,train
171584,0,train
171616,0,train
171375,0,train
171612,0,train
171593,0,train
171451,0,train
171597,0,train
171782,0,train
171738,0,train
171448,0,train
171787,0,train
171790,0,train
171503,0,train
171495,0,train
171606,0,train
171387,0,train
171501,0,train
171494,0,train
171602,0,train
171209,0,train
171704,0,train
171587,0,train
171363,0,train
171605,0,train
171600,0,train
171783,0,train
171152,0,train
171487,0,train
171378,0,train
171703,0,train
171595,0,train
171770,1,train
171364,0,train
171192,0,train
171764,0,train
171320,0,train
171500,0,train
171201,0,train
171389,0,train
171379,0,train
171455,0,train
171371,0,train
171739,0,train
171447,0,train
171177,0,train
171368,0,train
171741,0,train
171181,0,train
171504,0,train
171842,0,train
171479,0,train
171496,0,train
171702,0,train
171446,0,train
171765,0,train
171598,0,train
171592,0,train
171753,0,train
171755,0,train
171760,0,train
171589,0,train
171367,0,train
171361,0,train
171777,0,train
171585,0,train
171200,0,train
171385,0,train
171324,0,train
171362,0,train
171769,0,train
171610,0,train
171603,0,train
171759,0,train
171767,0,train
171357,0,train
172209,0,train
172055,0,train
172021,0,train
172429,0,train
172234,0,train
172496,0,train
172218,0,train
172178,0,train
172642,0,train
172237,0,train
172249,0,train
172261,0,train
172253,0,train
172379,0,train
172543,0,train
172033,0,train
172433,0,train
172500,0,train
172516,0,train
172644,0,train
172647,0,train
172020,0,train
171994,0,train
172202,0,train
172474,0,train
172551,0,train
172457,0,train
172488,0,train
171960,0,train
171965,0,train
172657,0,train
172032,0,train
172558,0,train
172220,0,train
172494,0,train
172649,0,train
172239,0,train
172550,0,train
172014,0,train
172539,0,train
172039,0,train
172138,0,train
172049,0,train
172443,0,train
172019,0,train
172467,0,train
172481,0,train
172674,0,train
172480,1,train
172542,0,train
172664,0,train
172515,0,train
172047,0,train
172377,0,train
172240,0,train
172507,0,train
172626,0,train
172053,0,train
172023,0,train
172035,0,train
172611,0,train
172027,0,train
172061,0,train
172510,0,train
172381,0,train
172596,0,train
172523,0,train
172490,0,train
172016,0,train
172514,0,train
172355,0,train
172431,0,train
172042,0,train
172554,0,train
172517,0,train
172489,0,train
172612,0,train
