cust_id,trans_date,trans_no,trade_amount_usd
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,148,0,100528.0
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,165,0,100528.0
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,231,0,89479.0
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,291,0,100528.0
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,389,0,30158.0
01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184,390,4,19000.0
0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,176,3,8356.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,271,0,22650.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,278,0,26567.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,299,0,22589.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,314,0,22047.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,327,0,18789.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,337,0,18595.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,363,0,20151.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,382,0,28682.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,379,0,32327.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,377,0,21600.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,378,0,32483.0
0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def,390,0,17841.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,34,4,57345.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,36,4,1246.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,145,4,49664.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,155,4,4569.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,155,4,3323.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,155,4,2201.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,155,4,2907.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,204,4,2025.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,204,4,1142.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,214,4,31149.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,217,4,2253.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,281,4,213.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,281,4,1744.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,281,4,3738.0
03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82,281,4,623.0
